id,name,category,price,description
218,"WildEdge Tinder Pouch","Camping Gear",12.50,"Waxed canvas bag rides in cargo pocket; cedar curls stay crisp through week‑long drizzle."
219,"OrbitGear Aurora Mini Lantern Shade Set","Camping Gear",14.70,"Soft silicone caps tint light amber, magenta or night‑vision red."
220,"OrbitGear Solar Flex 1 Panel","Camping Gear",44.60,"Single 6 W leaf tops a headlamp in half an hour of alpine noon."
221,"Ridge & Snow Foam Sit Pad","Camping Gear",14.00,"Cross‑linked foam squares fold accordion‑style; weighs as much as the brochure."
222,"Ridge & Snow ZipSack Trio","Camping Gear",18.90,"Three stuff sacks numbered 1‑3 reduce ‘where’s the stakes’ interrogation."
223,"PolarWorks Glacier Cooler 12 L","Camping Gear",124.40,"Injection‑moulded walls keep fish icy until trailhead even on 32 °C shoulder season days."
224,"PolarWorks Cooler Shoulder Strap","Camping Gear",16.90,"Padded sling swaps to the 12 L or 28 L IceBrick; steel cams won’t pop under load."
225,"PolarWorks Ice Divider Slim","Camping Gear",14.60,"Slides between cans, doubles as cutting board for sashimi ambitions."
226,"BluePeak Zephyr Softshell (M)","Apparel",179.00,"Double‑weave face stops drizzle; fleece grid lifts sweat off skin on mountain bike climbs."
227,"BluePeak Zephyr Softshell (W)","Apparel",179.00,"Women’s variant curves at hip, retains helmet‑compatible hood and two‑way pit zips."
228,"BluePeak RidgeLite Fleece Crew","Apparel",78.40,"58 % recycled polyester, flat‑seam shoulders stay smooth under messenger strap downtown."
229,"MarshEdge Delta Rain Parka","Apparel",244.90,"3‑L PU membrane, thigh‑length drop tail; newspaper survives pocket after bus splash test."
230,"MarshEdge Delta Rain Pants","Apparel",186.40,"Matte finish gains no shine under office lights—bike commute stealth mode engaged."
231,"MarshEdge Over‑Boot Spats","Apparel",48.70,"Stretch cuff seals ankle spray without the fabric flapping of full gaiters."
232,"HighRange Summit Grid Hoody","Apparel",109.00,"Alpine climbers wore it for three‑day link‑up; fabric still looked respectable at diner."
233,"HighRange Summit Grid Beanie","Apparel",29.50,"Same grid fleece, laser‑cut ear vents avoid speaker‑phone muffling."
234,"HighRange Summit Gloves","Apparel",64.80,"Softshell back, goat‑skin palm; touchscreen pads actually work in February."
235,"SkyLevel Alta Sun Hoodie","Apparel",77.10,"100 g stretch knit scores UPF 40+, weighs 135 g in men’s large."
236,"SkyLevel Alta Trail Shorts","Apparel",68.90,"Gusset extends stride; hidden card pocket guards espresso budget."
237,"SkyLevel Alta Arm Sleeves","Apparel",31.70,"Cool‑touch nylon slips under bike jersey; gel strip holds bicep without tourniquet vibe."
238,"EverNorth Merino 250 Zip (M)","Apparel",109.40,"Heavyweight base for −15 °C ski mornings, zipper garage spares chin stubble."
239,"EverNorth Merino 250 Zip (W)","Apparel",109.40,"Thumb loops anchor sleeves in glove gauntlets when chairlift wind bites."
240,"EverNorth Trek Liner Glove","Apparel",34.20,"Poly‑propylene liner dries fast, silicone dot pattern improves phone pics of summit cake."
241,"Canyon Ridge Canvas Field Jacket","Apparel",214.00,"12 oz duck cloth, corduroy collar; pockets sized for field notebook and bird guide."
242,"Canyon Ridge Canvas Field Cap","Apparel",42.60,"Vent grommets brass‑riveted; leather strap ages into two‑tone brown map."
243,"Canyon Ridge Wool Scarf","Apparel",61.80,"Milled in Yorkshire, fringe bar‑tacked so it doesn’t unravel into yarn bird nests."
244,"Granite Peak Alpine Bib Pant","Apparel",239.70,"3‑L stretch laminate, beacon pocket with leash point; articulated seat bends on ski lifts."
245,"Granite Peak Alpine Jacket","Apparel",322.80,"Matches the bib, 80 D shell shoulders shrug rope abrasion during crevasse haul."
246,"Granite Peak Down Skirt","Apparel",118.60,"700‑fill wrap‑around warms campfire legs; side zip opens for log gathering stride."
247,"WildEdge Operator Flannel HI‑VIS","Apparel",74.30,"Orange/black plaid meets forestry visibility codes and doesn’t look like caution tape."
248,"WildEdge ColdFront Balaclava","Apparel",28.40,"Windstopper panel blocks chainsaw draft; ear slits let comms headset align."
249,"WildEdge Timber Brace Suspenders","Apparel",44.90,"Leather tabs fit button braces; stretch webbing rated for 11 kg load‑out."
250,"WildEdge Frostline Knit Cap","Apparel",19.80,"Acrylic half‑cardigan knit doubles ear layers without top bulk."
251,"Driftstone Trail Racer 2","Footwear",158.00,"4 mm drop; outsole blends sticky forefoot with durable heel rubber for mixed races."
252,"Driftstone Racer Gaiter","Footwear",33.70,"Light lycra cuff zips on shoe ridge—zero velcro mud catch."
253,"Driftstone Dry Sock Mid","Footwear",48.90,"Waterproof membrane breathes enough to hike in, but shines in fjord crossings."
254,"BluePeak Traverse Hiker","Footwear",198.90,"Leather upper, nylon mesh quarter panel; factory resole program keeps pair in service yearly."
255,"BluePeak Traverse Laces 160 cm","Footwear",8.60,"Flat poly lace—doesn’t creep loose on day‑three switchbacks."
256,"BluePeak Traverse Low","Footwear",174.00,"Same chassis, ankle‑free freedom; toe rand overlaps 360° so delam is off the menu."
257,"EverNorth Trek Lite Flip‑Grip","Footwear",29.40,"Slip‑on micro‑spikes with hinged plate; stows in palm‑sized tin."
258,"EverNorth Trek Lite Micro Gaiter","Footwear",17.80,"Elastic cuff tucks into shoe collar; dust stays out without greenhouse warmth."
259,"HighRange Summit Clog","Footwear",83.50,"Closed‑cell foam upper, outsole patterned for hut wooden floors and icy porch steps alike."
260,"HighRange Summit Down Bootie","Footwear",98.20,"850‑fill, Pertex Quantum shell, silicone print sole for icy tiles."
261,"HighRange Summit Bootie Stuff Sack","Footwear",11.50,"Sil‑nylon bag labelled L/R pockets so booties arrive as pair."
262,"MarshEdge Delta Water Shoe","Footwear",112.00,"Drain mesh, EVA midsole; sticky sole grips SUP deck better than bare skin."
263,"MarshEdge Delta Web Sandal","Footwear",84.30,"Minimal webbing dries fast; heel strap folds forward for slip‑on convenience."
264,"Ridge & Snow Alpine Ski Sock UL","Footwear",22.60,"Ultralight race sock, friction‑free yarn at Achilles for 130‑flex boots."
265,"Ridge & Snow Ski Boot Insole HV","Footwear",38.80,"High‑volume EVA shim fills boot shell for low‑volume feet; heat‑mouldable."
266,"Ridge & Snow Boot Heater Pad","Footwear",52.40,"Li‑poly cell sandwiches under footbed; Bluetooth app dials temperature in 1 °C steps."
267,"SkyLevel Alta Trail Flip","Footwear",64.40,"EVA mid, Vibram rubber; toe post wrapped in suede so it doesn’t saw skin on hut porch."
268,"SkyLevel Alta Heel Wedge","Footwear",12.70,"0‑degree to 6‑degree canted options suavely fix supination in trail runners."
269,"WildEdge Timber Mid Boot","Footwear",238.00,"Mid‑height, steel toe, chain‑saw cut rating Class 1; Vibram FireSolver outsole."
270,"WildEdge Timber Stud Kit","Footwear",24.90,"Twenty boron‑carbide studs screw into Timber outsoles for icy skid‑logs."
271,"TerraNova Trek Pole Tip Re‑Tread","Footwear",11.20,"Rubber tips infused with basalt grit; grip slippery marble floor of national park shuttles."
272,"TerraNova Trek Pole Wrist Straps","Footwear",14.60,"Padded straps snap onto any 600/700 series pole; left/right printed for quick dawn orientation."
273,"PolarWorks IceTrack Over‑Boot","Footwear",166.90,"Cordura gaiter + felt sole for photographers standing on lake ice all day."
274,"PolarWorks IceTrack Lace Kit","Footwear",12.80,"Fifteen metres of Dyneema core lace plus heat‑shrink aglets for field swaps."
275,"OrbitGear DriftClog Wool Insole","Footwear",18.90,"5 mm felt insert adds shoulder‑season warmth to camp clogs."
276,"BluePeak Blizzard Carbon Ski 96","Winter Sports",744.00,"96‑mm waist, paulownia core; titanal stringer underfoot stops chatter without dampening life."
277,"BluePeak Blizzard Pole Pro 110‑130","Winter Sports",144.60,"Lever lock adjusts length; extended cork choke for skin tracks that refuse to mellow."
278,"BluePeak Blizzard Skin Mix","Winter Sports",184.30,"70/30 mohair blend, tip notch fits Carbon 96; printed glide arrows for directional sanity."
279,"EverNorth Avalanche Transceiver X3","Winter Sports",299.00,"Digital search radius 60 m; group check and firmware via USB‑C, yes, on Windows or Mac."
280,"EverNorth Shovel Carbon Compact","Winter Sports",109.80,"Telescopes to 75 cm dig length; blade slot cuts 30 × 30 cm column for CT results."
281,"EverNorth Probe 300 Alu","Winter Sports",96.10,"7075 segments, speed cone, depth marks every centimetre, high‑vis orange top cap."
282,"MarshEdge Delta Snowshoe Trail","Winter Sports",224.90,"Aluminium frame, composite decking, 8° tail lift; bindings pivot on stainless rod."
283,"MarshEdge Delta Snowshoe Crampon","Winter Sports",44.50,"Stainless crampon bolts under Trail deck; 10 points grip refrozen crust."
284,"MarshEdge Delta Snowshoe Bag","Winter Sports",28.70,"Cordura sack protects car seats; side pocket stows wet gaiters separately."
285,"HighRange Summit Helmet MIPS","Winter Sports",172.40,"Dual‑density shell, goggle clip lives exactly where strap wants to sit, not higher."
286,"HighRange Summit Recco Reflector Kit","Winter Sports",22.90,"Adhesive reflector patches for helmet or boot; search‑and‑rescue friendly."
287,"HighRange Summit Insulator Skirt","Winter Sports",88.50,"Primaloft skirt wraps waist during transitions so parka can stay in pack."
288,"Ridge & Snow Glide Wax Cold -12 °C","Winter Sports",12.20,"Fluoro‑free, race‑day glide for high‑pressure crystals; iron at 140 °C."
289,"Ridge & Snow Glide Wax Warm 0 °C","Winter Sports",12.20,"Soft formula for spring corn; brush out thoroughly to avoid base saturation."
290,"Ridge & Snow Edge Tool Pro","Winter Sports",38.90,"File guide 88/89°, spring clamp holds file true—tunes two skis in ten minutes."
291,"OrbitGear Mirage Vent Lens","Winter Sports",62.10,"$ Clear lens drilled, keeps fog away for hot‑lapping tree lines in April."
292,"OrbitGear Mirage Hard Case XL","Winter Sports",29.40,"Fits goggle plus two lenses; shell stomps but doesn’t crush in boot bag."
293,"Granite Peak Apex Pack 40","Winter Sports",254.00,"Diagonal ski carry, front crampon pouch, avy pocket sleeve exactly shovel width."
294,"Granite Peak Apex Pack Helmet Net","Winter Sports",18.70,"Net stores brain bucket outside pack for sweaty uphills."
295,"Granite Peak Apex Pack Lid 5 L","Winter Sports",29.80,"Add‑on top lid increases capacity without shifting weight bias backwards."
296,"PolarWorks IceBrick Tote 18","Winter Sports",214.20,"Soft‑cooler backpack keeps après beverages cold at parking lot tailgate below lift."
297,"PolarWorks IceBrick Bottle Sleeve","Winter Sports",17.20,"Neoprene sleeve anchors 750 ml bottle upright inside the Tote’s ice cube matrix."
298,"WildEdge Timber Ice Axe 58 cm","Winter Sports",189.90,"Adze ground to forestry spec; doubles as tree core sampler for avalanche educators."
299,"WildEdge Timber Snow Saw Collapsible","Winter Sports",74.70,"Blade slides into wooden handle; teeth triple‑cut for dense fir melt‑freeze layers."
300,"WildEdge Timber Field File","Winter Sports",19.80,"Diamond file tunes the Ice Axe pick edge back into self‑arrest sharpness."
301,"Northline Glacier 75 Backpack","Camping Gear",312.00,"A wire‑frame hip belt transfers 28 kg without bruising iliac crests on week‑long hauls."
302,"Northline Glacier Rain Lid","Camping Gear",32.80,"Clip‑in top pocket adds 6 L for last‑minute bear‑can snacks or map sheets."
303,"Northline Glacier Strap Set","Camping Gear",14.90,"Two 25 mm side‑compression straps swap in when original webbing finally frays."
304,"TrailSmith EmberFold Fire Pit","Camping Gear",174.60,"Flat‑packs to laptop size yet holds 40 cm logs for leave‑no‑trace campfires."
305,"TrailSmith Coal Tray XL","Camping Gear",29.40,"Stainless insert catches embers under the EmberFold so meadow grass stays green."
306,"TrailSmith Fire Gloves","Camping Gear",34.70,"Cowhide outer plus Nomex liner—grab that flaming skillet with composure."
307,"OrbitGear Aurora Go‑Lite Lantern","Camping Gear",38.90,"70 lm mode lasts 50 h; lanyard doubles as hang loop or hand strap."
308,"OrbitGear Power Bank 10 000","Camping Gear",58.20,"IP65‑rated shell, USB‑C PD out; recharges Aurora Go‑Lite five times."
309,"OrbitGear Solar Flex 14 W","Camping Gear",154.00,"Folds to A5, unfolds across tree limb to trickle laptop at base camp."
310,"EverNorth StreamLine Water Bag 6 L","Camping Gear",31.90,"HDPE bladder with slide top; hangs from branch for gravity‑feed shower."
311,"EverNorth StreamLine Shower Head","Camping Gear",18.40,"Twist valve meters flow; six jets rinse shampoo before water runs out."
312,"EverNorth StreamLine Soap Rack","Camping Gear",9.90,"Clip‑on caddy keeps soap from dissolving into forest floor mud."
313,"StonePeak Carbon Chair Lite","Camping Gear",159.80,"490 g chair with carbon hubs tested to 120 kg static—trail luxury verified."
314,"StonePeak Foot Pads (set 4)","Camping Gear",17.60,"Snow discs swap onto chair legs to stop sinking into April corn."
315,"StonePeak Pole‑Caddy","Camping Gear",24.50,"Clamps to chair frame and grips two trekking poles or a fishing rod."
316,"Granite Forge Camp Skillet 20 cm","Camping Gear",68.00,"Blue‑steel pan seasons fast and weighs half of cast iron twin."
317,"Granite Forge Folding Turner","Camping Gear",12.70,"Handle flips under blade; lies flat against pan for bear‑bin packing."
318,"Granite Forge Grill Grid S","Camping Gear",44.30,"Mesh stainless grid lets prawns grill over pine coals minus fatal drop."
319,"Clearwater Outfitters Delta Drybag 15","Camping Gear",52.20,"RF‑welded TPU, T‑zip waterproof even at one‑metre dunk."
320,"Clearwater Outfitters Delta Valve Purge","Camping Gear",8.60,"Retro‑fit valve releases air so bag packs flat inside kayak hatches."
321,"Clearwater Outfitters Delta Mesh Duffel","Camping Gear",88.40,"60 L, heavy polyester net drains sea gear on the drive home."
322,"PolarWorks Glacier Cube 1.5 kg","Camping Gear",19.90,"Rigid phase‑change brick freezes at –18 °C; stays solid 55 h in 28 L cooler."
323,"PolarWorks Glacier Dry Tray","Camping Gear",24.20,"Suspends cheese above melt pool; stainless rails fit IceBrick 28 L models."
324,"Alpine Canvas Co. Waxed Food Wrap (pair)","Camping Gear",14.90,"Bee‑waxed cotton squares wrap sandwiches, re‑mould with camp mug warmth."
325,"Alpine Canvas Co. Canvas Repair Patches","Camping Gear",9.30,"Iron‑on ovals save waxed gear from the first thorn that wins."
326,"BluePeak RidgeWool Hoodie","Apparel",139.60,"270 g merino‑poly blend, scuba hood fits under ski helmet without bulk."
327,"BluePeak RidgeWool Neck Buff","Apparel",21.70,"Same knit; double‑tube construction hides raw edges and cables podcast mic silently."
328,"BluePeak RidgeWool Gloves","Apparel",44.10,"Silicone grid on palm grips phone; wool loft survives a season of lifts and lattes."
329,"TrailSmith Canvas Field Overalls","Apparel",192.80,"Articulated knees, double‑layer seat; adjustable bib pocket holds small radio."
330,"TrailSmith Field Belt 40 mm","Apparel",31.50,"Vegetable‑tanned leather, solid brass buckle forged in Ohio."
331,"TrailSmith Waxed Gaiter Apron","Apparel",52.90,"Knee‑length split keeps sawdust off trousers when bucking campfire rounds."
332,"OrbitGear Nimbus Sun Tee (M)","Apparel",48.20,"Bamboo viscose knit rated UPF 50+; raglan sleeves banish chafe under harness."
333,"OrbitGear Nimbus Sun Tee (W)","Apparel",48.20,"Side vents flare over hips; same fabric spec as men’s version."
334,"OrbitGear Stratus Run Shorts","Apparel",62.40,"Five‑inch inseam, mesh drop pockets carry soft‑flask without bounce."
335,"OrbitGear Cirrus Wind Mitts","Apparel",37.60,"Pertex shell stows in palm pocket; wind shell gloves weigh 30 g pair."
336,"StonePeak Field Flannel Heavy","Apparel",97.80,"350 g Portuguese flannel, melamine buttons shrug campfire sparks."
337,"StonePeak Wool Watch Cap","Apparel",26.80,"Rib knit, double‑fold cuff; yarn scoured to remove lanolin itch."
338,"StonePeak Cotton Henley","Apparel",58.50,"Three‑button placket, enzyme‑washed for softness you’d swear is a hand‑me‑down."
339,"EverNorth StreamLine Rash Guard","Apparel",74.30,"Long sleeve poly‑spandex, flat seams, SPF 45 for surf breaks at noon."
340,"EverNorth Surf Shorts (unisex)","Apparel",69.90,"Lycra waistband, zip side pocket; board leash loop bar‑tacked to 50 kg pull."
341,"EverNorth Beach Sandals","Apparel",42.60,"EVA sole, webbing straps; arch cut holds foot while sprinting for ice‑cream queue."
342,"PolarWorks Glacier Down Parka (M)","Apparel",629.00,"900‑fill, box‑wall, fluorocarbon‑free DWR; lab‑rated –30 °C static comfort."
343,"PolarWorks Glacier Down Parka (W)","Apparel",629.00,"Women’s cut adds internal waist adjust, same loft and baffle map."
344,"PolarWorks Snowline Bib Pant","Apparel",268.40,"3‑L Dermizax, drop‑seat zip and kevlar cuff guards answer alpine demands."
345,"Alpine Canvas Co. Heritage Wool Vest","Apparel",168.70,"21‑oz melton wool, satin back; brass cinch buckle nods to last century."
346,"Alpine Canvas Co. Heritage Driving Cap","Apparel",58.60,"Eight‑panel tweed, leather sweatband; pairs with waxed coat on town supply runs."
347,"Alpine Canvas Co. Cable‑Knit Mitts","Apparel",34.20,"Irish wool spun on Donegal coast, no conduct touch tech—pure analog warmth."
348,"Granite Forge Softshell Skirt","Apparel",112.40,"DWR stretch nylon, side zip opens for snowshoe stride, microfleece inside."
349,"Granite Forge Tech Henley Women","Apparel",64.80,"Poly‑TENCEL knit cancels odor; button placket backed by ribbon that refuses to crumple."
350,"Granite Forge Insulated Shirt Jkt","Apparel",154.20,"60 g Primaloft Gold, snap front; looks lumberjack, feels like sleeping bag."
351,"SkyLevel Alta Run GTX","Footwear",188.90,"Waterproof road‑to‑trail hybrid, midsole rocker eases 30‑km days, 8 mm drop."
352,"SkyLevel Alta Run Mesh","Footwear",162.00,"Same midsole sans membrane; weight savings 62 g per shoe in size 42."
353,"SkyLevel Alta Gaiter Lite","Footwear",34.20,"Ripstop ankle cuff with under‑strap keeps pine needles out mid‑marathon."
354,"BluePeak RidgeGrip Approach Shoe","Footwear",154.60,"Slab‑tuned sticky rubber, stiff forefoot; rand extends over toe box like armour."
355,"BluePeak RidgeGrip Mid Boot","Footwear",174.80,"Water‑resistant suede, mid‑height cuff saves ankles hauling camera gear up gullies."
356,"BluePeak RidgeGrip Sock Twin","Footwear",21.80,"Low‑cut merino pair with toe reinforcements to match RidgeGrip last lines."
357,"EverNorth Stream Walker Boot","Footwear",118.50,"Feltless AquaTread sole—river wardens approve—poron midsole damps rock bruises."
358,"EverNorth Stream Sandal","Footwear",89.20,"H‑strap design drains fast; TPU footbed brushed to combat slime slip."
359,"EverNorth Tidal Sock","Footwear",24.70,"2 mm neoprene liner extends paddle season without the sweatbox effect."
360,"TrailSmith Camp Clog Wool","Footwear",69.90,"Wool felt upper, cork footbed; EVA outsole strolls from tent to outhouse quietly."
361,"TrailSmith Clog Insoles","Footwear",9.70,"Replacement cork; perforations align to original footbed so screw studs line up."
362,"TrailSmith Camp Boot Warmers","Footwear",34.90,"USB‑C pad warms clog toe box; three heat levels, auto‑off after 40 min."
363,"StonePeak Boulder Shoe LV","Footwear",137.00,"Low‑volume last hugs narrow feet; XS Grip2 outsole adheres like fear to slab."
364,"StonePeak Boulder Crack Boot","Footwear",149.80,"High‑top leather laces above ankle for sandstone splitter season."
365,"StonePeak Boulder Chalk Bag","Footwear",28.60,"Stiff rim, fleece lining; brush holder loops left or right for southpaws."
366,"PolarWorks Glacier Trek Spike","Footwear",62.40,"12‑point stainless spikes elastomer frame; sizes XS–XL match EU 36–48."
367,"PolarWorks Glacier Trek Storage Pouch","Footwear",14.30,"Ballistic nylon case quarantines spikes from puffy jacket."
368,"PolarWorks Glacier Toe Covers","Footwear",22.60,"Neoprene slip‑on boosts running shoe range to –5 °C morning starts."
369,"WildEdge Timber Steel Toe Boot","Footwear",244.50,"Oil‑tanned leather, Vibram FireSolver; CSA grade 1 approved."
370,"WildEdge Timber Boot Kiltie","Footwear",6.80,"Leather fringe guards laces from sawdust gumming, snaps on/off with studs."
371,"WildEdge Timber Insoles","Footwear",18.50,"Anti‑puncture mid‑layer shields foot from rogue splinters on log deck."
372,"Granite Forge Summit Flip","Footwear",59.90,"Recycled rubber sole, hemp strap; weighs 130 g per pair for cabin loaf days."
373,"Granite Forge Summit Toe Socks","Footwear",14.60,"Separate toe sleeves end flip‑flop web rub, knit from bamboo yarn."
374,"TerraNova Trek Pole Boot Tip","Footwear",13.20,"Rubber tip plus tungsten stud for slick winter boardwalks."
375,"TerraNova Trek Pole Ice Basket","Footwear",11.30,"40 mm disc, flexible fins; prevents plunge into sun cups on glaciers."
376,"PeakCarbon SkyDrift Ski 88","Winter Sports",724.00,"Paulownia core plus carbon layer; 1 960 g per pair in 171 cm measured."
377,"PeakCarbon SkyDrift Pole 110‑135","Winter Sports",148.40,"Lever‑lock handle plus 3° angled grip saves wrists on long flats."
378,"PeakCarbon SkyDrift Skin Pure Mohair","Winter Sports",219.90,"100 % mohair, water‑resist treatment; tip loop riveted stainless not sewn."
379,"Ridge & Snow Glacier Boot Heater V3","Winter Sports",233.00,"Bluetooth program, 12 h low mode; lithium pack rated –20 °C operating."
380,"Ridge & Snow Glacier Heater Cables","Winter Sports",28.90,"Spare cables fit V2 and V3 pads; silicone jacket stays supple in deep freeze."
381,"Ridge & Snow Edge Deburr Tool","Winter Sports",19.80,"Ceramic hone removes file burr so base edge glides clean."
382,"Snowline Works Patrol Sled Pro","Winter Sports",798.00,"Vacuum‑formed sled with steel runners; detachable rope bridle for tandem haul."
383,"Snowline Works Rescue Blanket","Winter Sports",44.70,"Aluminium‑coated ripstop, four corner loops anchor blanket in 100 km/h wind."
384,"Snowline Works Probe Bag","Winter Sports",21.20,"Cord‑ura sleeve protects probe tubes, label patch pencilled with team initials."
385,"IceFront Guide Vest","Winter Sports",189.00,"Softshell front, mesh back; avalanche tools in quick‑rip pocket across sternum."
386,"IceFront Guide Radio Harness","Winter Sports",38.60,"Elastic holster, vertical orientation; fits BCA, Motorola, and most FRS units."
387,"IceFront Guide Note Pad","Winter Sports",7.40,"Rite‑in‑Rain paper, grid lines for slope angle sketches."
388,"OrbitGear Mirage Night Lens","Winter Sports",65.50,"Clear lens plus hydrophobic film keeps snowflakes from clinging at floodlit resort laps."
389,"OrbitGear Mirage Strap Neon","Winter Sports",23.90,"High‑vis lime strap swaps on for dusk patrol; silicone inside keeps put on shell."
390,"OrbitGear Aero Beacon Tether","Winter Sports",14.20,"PU coil cord stretches 90 cm; clips to Beacon 3 harness."
391,"HighRange Summit Airbag Cylinder","Winter Sports",124.00,"Carbon fibre shell, 310 g; refill stations network map printed in manual."
392,"HighRange Summit Fan Unit","Winter Sports",229.00,"Spare super‑capacitor fan for Summit AviPack line; tool‑less swap at trailhead."
393,"HighRange Summit Crampon Bag","Winter Sports",34.90,"Tarpaulin pouch isolates spikes from quilt in sled."
394,"BluePeak RidgeWool Neck Warmer XL","Winter Sports",36.40,"Extra‑long tube covers nose and goggles on chair without breathing restriction."
395,"BluePeak RidgeWool Glove Liners UL","Winter Sports",24.90,"120 g merino gloves slim enough to fit inside race mitt shells."
396,"MarshEdge Delta Ski Sock Hi‑Viz","Winter Sports",28.70,"Fluoro‑yellow instep aids circulation check during night drills."
397,"MarshEdge Delta Boot Dryer USB","Winter Sports",58.30,"Twin fans feed warm air via USB power bank—works in hut with solar."
398,"TerraNova Trek Pole Powder Basket","Winter Sports",9.90,"120 mm snow baskets screw onto 600/700 series poles for soft March laps."
399,"TerraNova Pole Snow Strap","Winter Sports",14.40,"Padded winter strap sets loop bigger to accommodate mitt bulk."
400,"WildEdge Timber Snow Saw Pro","Winter Sports",82.90,"Offset teeth, ABS handle in safety orange; cuts 40 cm column in four draws."
401,"Northline Glacier Groundsheet XL","Camping Gear",54.20,"150 g 20 D sil‑nylon rectangle sized for two‑person tents; corner grommets accept trekking‑pole tips for tarp pitch mode."
402,"Northline Glacier Dry Sack 10 L","Camping Gear",32.60,"IPX7 roll‑top with transparent window; valve bleeds trapped air before you milk bag into pack crevices."
403,"Northline Glacier Compression Straps (pair)","Camping Gear",14.90,"25 mm webbing with aluminium G‑hooks shorten to 18 cm—ideal for cinching sleeping bag into bear‑can footprint."
404,"TrailSmith EmberFold Spark Screen","Camping Gear",38.70,"Stainless mesh dome latches to EmberFold fire pit, blocking embers from wandering into dry grass."
405,"TrailSmith EmberFold Grill Top","Camping Gear",29.40,"Laser‑cut grate drops into pit frame; pattern holds asparagus as securely as steak."
406,"TrailSmith Camp Ash Pan","Camping Gear",19.80,"Fold‑flat tray slides under EmberFold to catch embers—USFS compliant for high‑risk zones."
407,"OrbitGear Power Bank 20 000","Camping Gear",79.90,"Rugged IP65 shell, 30 W USB‑C PD in/out; charges mirrorless battery three times between trailheads."
408,"OrbitGear Cable Organizer Roll","Camping Gear",22.40,"Stretch loops tame cords, SD cards and a tiny field mic; rolls narrower than a camp mug."
409,"OrbitGear Solar Flex 21 W","Camping Gear",198.00,"Six‑panel array hangs from portaledge daisy chain, trickle‑feeds laptop at 19 V under full alpine sun."
410,"SkyLevel Alta Trek Stool","Camping Gear",94.10,"Three carbon legs tension with a single hub; 445 g carry weight, 110 kg load certified."
411,"SkyLevel Alta Trail Cup 450 ml","Camping Gear",18.90,"Double‑wall stainless keeps cocoa above 60 °C for 25 min at 1 600 m ambient 4 °C."
412,"Granite Forge Coffee Press Kit","Camping Gear",32.30,"Plunger lid swaps onto Trail Cup; fine mesh isolates grounds so no cowboy grit at lip."
413,"Granite Forge Pancake Pan 22 cm","Camping Gear",42.70,"Non‑stick coating PFOA‑free; sloped edge flips hotcake with a polite wrist flick."
414,"Granite Forge Silicone Lid Handle","Camping Gear",7.90,"Replacement grip fits fry pan and pot lids; survives 200 °C without going sticky."
415,"Clearwater Outfitters Delta Deck Bag","Camping Gear",86.70,"15 L splashproof pocket lashes to kayak deck; map window visible through wave spray."
416,"Clearwater Outfitters Dry Map Case","Camping Gear",21.20,"Zip‑lock seal with corner lashing points; touchscreen still works through TPU."
417,"Clearwater Outfitters Deck Compass","Camping Gear",48.60,"Suunto capsule on shock cord base; numbers readable while kneeling mid‑rapid."
418,"PolarWorks Glacier Ice Scoop","Camping Gear",12.80,"Aluminium scoop shaves block ice into glasses; doubles as emergency snow pit tool."
419,"PolarWorks IceBrick Divider Tall","Camping Gear",17.90,"Vertical partition slots into 28 L cooler, keeps milk upright on washboard roads."
420,"WildEdge Tinder Tin Refill","Camping Gear",8.50,"Fifteen waxed wood wool bundles replace spent Firemaker kit supply."
421,"WildEdge Timber Kindling Splitter","Camping Gear",34.40,"Cast‑iron ring blade quarter‑splits billets safely with mallet; base holes bolt to stump."
422,"StonePeak Camp Spice Rack","Camping Gear",18.60,"Six micro‑shakers nest in ABS sleeve, O‑rings prevent cumin perfume inside pack."
423,"StonePeak Reusable Cutlery Set","Camping Gear",21.30,"Titanium fork, spoon and serrated knife clip into carabiner sheath."
424,"TerraNova Trek Chair Backrest Pad","Camping Gear",16.90,"Inflatable lumbar pillow clips to 600‑series chair, weighs 48 g deflated."
425,"Alpine Canvas Co. Waxed Log Carrier","Camping Gear",39.70,"Heavy duck canvas sling totes four arm‑thick logs from pile to pit without sap stripes."
426,"Northline Glacier Merino Neck Gaiter","Apparel",24.50,"18.5‑micron wool tube dyed glacier blue; seam flat‑locked to disappear under helmet strap."
427,"Northline Glacier Windstopper Beanie","Apparel",38.90,"Softshell panel blocks summit gust while crown stays breathable on approach."
428,"Northline Glacier Storm Shell (M)","Apparel",329.00,"3‑layer ePTFE, alpine helmet hood, and RECCO patch; weighs 412 g verified."
429,"TrailSmith Canvas Shop Shirt","Apparel",78.40,"8 oz cotton duck, snap buttons, pen slot; doubles as town layer on resupply day."
430,"TrailSmith Iron Weaver Belt","Apparel",29.50,"Biothane strap resists resin stain and outlives leather in monsoon testing."
431,"TrailSmith Nano‑Fleece Neck Warmer","Apparel",18.40,"100 g micro‑fleece cylinder—budget warmth for sawyer dawn starts."
432,"OrbitGear Nimbus Race Tank","Apparel",46.20,"Recycled polyester knit, bonded seams; dries in 11 min breeze test."
433,"OrbitGear Stratus Pace Tight","Apparel",82.90,"Seven‑panel cut, thigh stash fits 250 ml flask, ankle zip 18 cm long."
434,"OrbitGear Cirrus Wind Cap","Apparel",27.40,"Soft‑shell panel front, vent mesh rear; stiff brim shades without cycling flop."
